"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini"
"570",451,0,3,3,1,1,1,0
"571",2512,0,13,52,1,2,2,0
"572",307,0,6,12,1,1,1,0
"573",2081,0,17,68,1,4,4,0
"574",2217,0,12,48,1,2,2,0
"575",3325,0,22,132,7,7,1,0
"576",6145,0,19,190,3,6,2,0
"577",11390,0,32,192,1,3,3,0
"578",212,0,4,4,1,1,1,0
"579",2758,0,24,96,1,2,2,0
"580",8888,1,100,300,6,6,1,0
"581",659,0,7,14,1,2,2,0
"582",1031,0,21,42,2,2,1,0
"583",2010,1,70,210,3,4,2,0.25
"584",1747,0,24,48,2,2,1,0
"585",2,0,7,14,1,1,1,0
"586",3056,0,35,35,1,1,1,0
"587",430,0,6,12,1,1,1,0
"588",1790,0,14,28,2,2,1,0
"589",9480,1,100,500,3,4,2,0.25
"590",13732,1,343,1372,3,4,2,0.25
"591",8179,0,37,74,1,2,2,0
"592",1345,0,10,20,3,3,1,0
"593",729,0,8,16,1,2,2,0
"594",7194,1,100,300,1,2,2,0
"595",3332,0,60,240,1,2,2,0
"596",1080,0,25,50,1,1,1,0
"597",4,0,32,32,1,1,1,0
"598",1294,0,3,12,1,2,2,0
"599",2627,1,50,150,3,3,1,0
"600",1696,1,100,100,1,1,1,0
"601",1843,0,15,60,1,2,2,0
"602",3403,0,21,126,2,4,2,0
"603",70914,1,40,160,2,4,2,0
"604",8772,1,110,330,1,2,2,0
"605",139,0,5,10,1,1,1,0
"606",4,0,3,9,2,2,1,0
"607",5721,0,30,180,1,2,2,0
"608",4779,1,45,180,2,4,2,0
"609",966,0,5,20,1,2,2,0
"610",75,0,26,26,1,1,1,0
"611",1546,0,7,35,2,3,2,0.17
"612",18,0,10,20,1,2,2,0
"613",1088,0,17,34,1,2,2,0
"614",2,0,16,16,1,1,1,0
"615",4129,0,40,80,1,2,2,0
"616",5638,0,21,168,3,6,2,0
"617",68182,0,28,112,1,2,2,0
"618",3001,0,11,22,1,1,1,0
"619",889,0,8,32,1,2,2,0
"620",3372,1,60,60,1,1,1,0
"621",8325,0,31,124,2,4,2,0
"622",1583,0,28,56,1,2,2,0
"623",136,0,3,6,1,1,1,0
"624",352,0,16,16,1,1,1,0
"625",3901,1,58,174,6,6,1,0
"626",447,0,3,6,1,1,1,0
"627",791,0,20,80,1,2,2,0
"628",65813,0,35,140,1,2,2,0
"629",65670,0,3,6,1,1,1,0
"630",65692,0,20,60,1,2,2,0
"631",298,0,3,6,1,1,1,0
"632",3,0,3,6,1,1,1,0
"633",9615,1,85,340,2,3,2,0.17
"634",334,0,3,6,1,2,2,0
"635",81932,0,21,42,1,2,2,0
"636",1061,0,17,34,1,1,1,0
"637",1415,0,4,8,1,1,1,0
"638",310,0,3,6,1,1,1,0
"639",3,0,7,28,1,2,2,0
"640",3627,0,28,112,1,2,2,0
"641",879,0,15,30,2,2,1,0
"642",82118,0,15,120,3,6,2,0
"643",2,0,5,10,1,1,1,0
"644",3,0,18,18,1,1,1,0
"645",805,0,10,10,1,1,1,0
"646",623,0,15,45,2,2,1,0
"647",1065,0,24,48,2,2,1,0
"648",4408,0,25,75,2,3,2,0.17
"649",5373,1,57,285,6,7,2,0.36
"650",6053,1,144,288,1,2,2,0
"651",13,0,20,40,1,1,1,0
"652",4089,0,24,216,4,5,2,0.3
"653",3192,0,3,12,1,2,2,0
"654",1328,0,9,54,2,4,2,0
"655",7,1,40,40,1,1,1,0
"656",1742,0,14,42,2,3,2,0.17
"657",131,0,9,9,1,1,1,0
"658",1082,0,30,90,1,2,2,0
"659",4346,0,23,138,2,4,2,0
"660",289,0,20,40,1,1,1,0
"661",137,0,5,10,1,1,1,0
"662",7,0,15,15,1,1,1,0
"663",2377,0,21,84,1,2,2,0
"664",4,0,15,30,1,2,2,0
"665",4633,1,39,39,3,3,1,0
"666",66016,0,5,20,1,2,2,0
"667",8,0,3,3,1,1,1,0
"668",1090,0,11,11,1,1,1,0
"669",3824,0,35,105,3,3,1,0
"670",65842,0,6,24,1,2,2,0
"671",66012,0,6,18,1,2,2,0
"672",2262,1,63,252,2,3,2,0.17
"673",268,0,5,5,1,1,1,0
"674",4199,0,13,52,2,4,2,0
"675",691,0,3,12,1,2,2,0
"676",4696,0,55,110,1,2,2,0
"677",3391,1,281,843,4,5,2,0.3
"678",1746,0,8,16,1,1,1,0
"679",7094,1,45,180,2,3,2,0.17
"680",3653,0,20,60,2,3,2,0.17
"681",1917,0,36,72,1,2,2,0
"682",6293,0,8,16,1,2,2,0
"683",1,0,17,34,1,2,2,0
"684",66063,0,12,48,1,2,2,0
"685",1779,1,98,98,1,1,1,0
"686",2135,0,25,100,2,2,1,0
"687",5629,0,26,156,2,4,2,0
"688",2573,0,21,84,1,2,2,0
"689",921,1,49,49,1,1,1,0
"690",433,0,37,37,1,1,1,0
"691",82162,0,15,30,1,1,1,0
"692",603,0,4,8,1,1,1,0
"693",1265,1,30,60,2,2,1,0
"694",1201,0,18,36,1,1,1,0
"695",6688,1,207,1035,4,5,2,0.3
"696",76160,1,44,264,2,4,2,0
"697",1578,0,25,75,2,2,1,0
