"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"328",1869,1,30,60,1,1,1,0,62.3,31.15,0.0333333333333333
"329",3134,1,30,120,1,2,2,0,104.466666666667,26.1166666666667,0.0666666666666667
"330",10476,1,100,400,1,2,2,0,104.76,26.19,0.02
"331",5843,1,150,600,1,2,2,0,38.9533333333333,9.73833333333333,0.0133333333333333
"332",1213,1,55,110,1,1,1,0,22.0545454545455,11.0272727272727,0.0181818181818182
"333",591,1,37,37,2,2,1,0,15.972972972973,15.972972972973,0.0540540540540541
"334",4570,1,79,316,1,2,2,0,57.8481012658228,14.4620253164557,0.0253164556962025
"335",5867,1,57,228,1,2,2,0,102.929824561404,25.7324561403509,0.0350877192982456
"336",1046,1,50,50,1,1,1,0,20.92,20.92,0.02
"337",1002,1,80,80,1,1,1,0,12.525,12.525,0.0125
"338",1241,1,50,100,1,1,1,0,24.82,12.41,0.02
"339",6129,1,140,280,1,2,2,0,43.7785714285714,21.8892857142857,0.0142857142857143
"340",5242,1,55,220,1,2,2,0,95.3090909090909,23.8272727272727,0.0363636363636364
"341",3416,1,100,200,1,1,1,0,34.16,17.08,0.01
"342",1568,1,75,75,1,1,1,0,20.9066666666667,20.9066666666667,0.0133333333333333
