tab_score_reg,dopasPerTab,totInksPerTab,tot_imps_per_tab,stationTypeId,idx,oID,maxInksPerTab,gini,tab_score_weighted,tabID,qtyPerTab,runTime
1,1,1,100,1,140,263601,1,0,100,75860,100,1248
1,1,1,40,2,141,263602,1,0,40,75861,20,863
2.45,2,3,36,2,142,263618,2,0.17,88.18,75886,12,1859
2,2,2,16,2,143,263628,1,0,32,75896,8,1686
1.73,1,3,9,2,144,263631,3,0,15.59,75900,3,203
1,1,1,22,2,145,263645,1,0,22,75914,11,1445
1,1,1,24,2,146,263650,1,0,24,75920,12,651
2,2,2,200,2,147,263651,1,0,400,75921,50,3063
2,2,2,28,2,148,263652,1,0,56,75922,14,1083
2,2,2,60,2,149,263653,1,0,120,75923,15,1573
2.45,2,3,45,2,150,263659,2,0.17,110.23,75930,15,5620
1.41,1,1,8,2,151,263660,1,0,11.31,75931,4,68
1,1,1,140,2,152,263669,1,0,140,75941,70,2475
2.83,2,4,18,2,153,263670,2,0,50.91,75942,3,3430
2,2,2,12,2,154,263674,1,0,24,75946,3,2524
2,2,2,12,2,155,263677,1,0,24,75949,3,1884
4,2,8,420,2,156,263680,4,0,1680,75954,42,9388
1,1,1,60,2,157,263684,1,0,60,75960,30,1421
2,2,2,200,2,158,263687,1,0,400,75964,50,5236
2.83,2,4,96,2,159,263688,2,0,271.53,75965,12,2598
1.41,1,2,24,2,160,263704,2,0,33.94,75981,6,740
2,2,2,12,2,161,263719,1,0,24,76000,3,887
1,1,1,29,2,162,263723,1,0,29,76004,29,2065
1,1,1,52,2,163,263727,1,0,52,76008,26,1
2,2,2,52,2,164,263731,1,0,104,76013,13,1994
1.41,1,2,21,2,165,263732,2,0,29.7,76014,7,714
1,1,1,4,2,166,263740,1,0,4,76023,4,194
1,1,1,20,2,167,263741,1,0,20,76025,10,632
1,1,1,10,2,168,263743,1,0,10,76028,5,458
2,2,2,52,2,169,263746,1,0,104,76031,13,2412
2,2,2,140,2,170,263752,1,0,280,76037,70,4115
1.41,1,2,75,2,171,263759,2,0,106.07,76044,25,3057
1.41,1,2,21,2,172,263760,2,0,29.7,76045,7,408
2.83,2,4,162,1,173,263765,3,0.25,458.21,76050,54,1085
1.41,1,2,32,2,174,263766,2,0,45.25,76051,8,958
2,2,2,120,2,175,263770,1,0,240,76055,30,2747
2,2,2,320,1,176,263771,1,0,640,76056,80,3687
1.41,1,2,72,2,177,263773,2,0,101.82,76058,24,3122
2,2,2,16,2,178,263776,1,0,32,76061,4,921
1.41,1,2,12,2,179,263777,2,0,16.97,76062,3,968
2.45,2,3,90,2,180,263781,2,0.17,220.45,76066,15,3598
1,1,1,28,2,181,263783,1,0,28,76068,14,896
2,2,2,40,2,182,263784,1,0,80,76069,10,2091
1.41,1,1,18,2,183,263792,1,0,25.46,76081,18,3
2,2,2,60,2,184,263797,1,0,120,76087,15,2183
2.83,2,4,150,2,185,263800,2,0,424.26,76090,30,6953
2,2,2,48,2,186,263802,1,0,96,76092,12,2740
2.45,2,3,48,2,187,263803,2,0.17,117.58,76093,12,3
1,1,1,140,2,188,263810,1,0,140,76102,70,5584
1,1,1,12,2,189,263811,1,0,12,76103,6,1063
1.41,1,2,60,2,190,263819,2,0,84.85,76111,30,3571
1,1,1,80,2,191,263820,1,0,80,76112,80,1435
1,1,1,12,2,192,263827,1,0,12,76119,6,174
1,1,1,5,2,193,263835,1,0,5,76135,5,136
1.41,1,1,18,2,194,263838,1,0,25.46,76138,3,24
2,2,2,144,2,195,263843,1,0,288,76144,36,3089
2,1,2,152,1,196,263845,2,0,304,76147,76,7897
2,2,2,48,2,197,263846,1,0,96,76148,24,1522
1,1,1,6,2,198,263848,1,0,6,76150,3,253
1,1,1,50,2,199,263850,1,0,50,76152,25,2410
2.83,2,4,100,2,200,263854,2,0,282.84,76160,25,3536
1,1,1,20,2,201,263857,1,0,20,76163,10,649
2,2,2,8,2,202,263869,1,0,16,76177,4,696
2.45,2,3,105,2,203,263871,2,0.17,257.2,76179,21,3110
1.41,1,1,26,2,204,263872,1,0,36.77,76180,13,576
2.45,2,3,90,2,205,263876,2,0.17,220.45,76186,30,2521
2,2,2,48,2,206,263878,1,0,96,76188,12,1745
2,2,2,20,2,207,263880,1,0,40,76190,5,1003
2.45,2,3,9,2,208,263881,2,0.17,22.05,76191,3,495
1.41,1,1,12,2,209,263886,1,0,16.97,76196,6,395
1,1,1,6,2,210,263889,1,0,6,76199,3,134
2,2,2,52,2,211,263890,1,0,104,76200,13,1582
1.41,1,2,9,2,212,263891,2,0,12.73,76201,3,189
1.41,1,1,14,2,213,263895,1,0,19.8,76205,14,1
2,2,2,48,2,214,263899,1,0,96,76209,12,1848
2,2,2,16,2,215,263903,1,0,32,76213,8,420
