,orderId,tab_id,dopa_id,runTime,tabsPerOrder,tab_tot_pcs,dopa_tot_imp,printer,dopa_tot_inks,dopas_per_tab,inks_per_tab,tot_imps_per_tab,tab_score_reg,tab_score_weighted,stationTypeId,good,actual,pred,WSPP,mult_dopa
265,306186,124412,199934,596,1,20,20,299564,1,1,1,20,1,20,2,1,Manual,Manual,1,0
268,306182,124407,199926,276,1,5,5,404135,1,1,1,5,1,5,2,1,Manual,Manual,1,0
275,306173,124398,199912,2721,1,15,30,404135,2,1,2,30,1.41421,42.4264,2,1,Manual,Manual,2.828426667,0
282,306147,124370,199868,1484,1,3,6,541683,1,2,1,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
283,306145,124368,199865,1594,1,10,20,191063,1,1,1,20,1,20,2,1,Manual,Manual,2,0
284,306142,124366,199862,5127,1,10,40,404135,5,1,5,40,2.23607,89.4427,2,1,Manual,Manual,8.94427,0
289,306134,124357,199848,1333,1,35,70,53821,1,1,1,70,1,70,2,1,Manual,Manual,2,0
292,306126,124348,199833,4057,1,16,112,191063,4,1,4,112,2,224,2,1,Manual,Manual,14,0
293,306124,124346,199829,1763,1,9,27,50866,2,2,2,27,2,54,2,1,Manual,Manual,6,0
294,306122,124344,199827,732,1,4,8,299568,1,1,1,8,1,8,2,1,Manual,Manual,2,0
297,306118,124340,199822,694,1,24,48,299564,1,1,1,48,1,48,2,1,Manual,Manual,2,0
300,306113,124336,199817,2369,1,18,36,530373,1,1,1,36,1,36,2,1,Manual,Manual,2,0
313,306092,124309,199778,1779,1,24,72,299568,2,1,2,72,1.41421,101.823,2,1,Manual,Manual,4.242625,0
316,306082,124299,199763,1055,1,19,57,191063,2,1,2,57,1.41421,80.6102,2,1,Manual,Manual,4.242642105,0
317,306080,124296,199760,6501,1,27,81,541683,2,2,3,81,2.44949,198.409,2,1,Manual,Manual,7.348481481,0
318,306079,124295,199757,943,1,16,32,191063,1,2,1,32,1.41421,45.2548,2,1,Manual,Manual,2.828425,0
319,306076,124292,199753,363,1,10,10,190801,1,1,1,10,1,10,2,1,Manual,Manual,1,0
328,306056,124271,199718,2974,1,40,80,404135,1,1,1,80,1,80,2,1,Manual,Manual,2,0
331,306044,124255,199689,424,1,5,15,50866,2,1,2,15,1.41421,21.2132,2,1,Manual,Manual,4.24264,0
336,306035,124246,199676,7675,1,30,60,581359,2,1,2,60,1.41421,84.8528,2,1,Manual,Manual,2.828426667,0
339,306032,124243,199672,1645,1,8,8,581359,1,1,1,8,1,8,2,1,Manual,Manual,1,0
